Platz;Produkt;Marke;Quelle;Komfort (1–10);Style (1–10);Material;Markenwertung (1–10);Anbieterwertung (1–10);Gesamtscore (0–100)
65;Damen Cropped Hoodie | Bella + Canvas 7502;Bella + Canvas 7502;Gelato ;9;8;52% Airlume Baumwolle, 48% Polyfleece;5;5;58,37
66;Mittelschwerer Fleece-Hoodie für Erwachsene | Gildan SF500;Gildan SF500;Gelato ;8;8;80% ringgesponnene Baumwolle, 20% Polyester;5;5;58,34
67;Frauen Hoodie;AWDis Just Hoods;Spreadconnect;8;8;80% Baumwolle, 20% Polyester;5;5;58,34
68;Unisex Hoodie;AWDis;Spreadconnect;8;8;"80% Baumwolle, 20% Polyester (Anthrazit: 52% Baumwolle, 48% Polyester; Hellgrau meliert: 75% Baumwolle, 25% Polyester)";5;5;58,33
69;Unisex Oversized Kapuzenpullover aus recyceltem Mischgewebe;SOL'S Origin 03991;Gelato ;8;9;50% Baumwolle, 50% recyceltes Polyester;5;5;58,3
70;Klassischer Unisex Zip-Hoodie;Delta 97300, Gildan 18600;Gelato ;8;8;50 % Baumwolle, 50 % Polyester;5;5;58,07
71;Klassischer Unisex Zip-Hoodie;Gildan 37200, Gildan 18600;Gelato ;8;8;50% Polyester, 50% Baumwolle;5;5;58,07
72;Unisex Eco Raglan Hoodie;SOL'S;Printful;6;8;80% ringspun combed cotton, 20% recycled polyester;5;8;57,72
73;Unisex Hoodie aus recyceltem Mischgewebe;SOL'S Condor 03815;Gelato ;8;8;50% recyceltes Baumwolle, 50% recyceltes Polyester;5;5;57,48
74;Organic Fitted Hoodie Made in EU;Spreadshirt;Spreadshirt;9;8;100% Baumwolle (aus biologischem Anbau);5;6;57,09
75;Organic Relaxed Hoodie Made in EU;Spreadshirt;Spreadshirt;9;8;100% Baumwolle (aus biologischem Anbau);5;6;57,09
76;All-Over Print Recycled Unisex Hoodie;Printful;Printful;6;8;95% recycled polyester, 5% spandex;5;8;56,92
77;All-Over Print Recycled Unisex Zip Hoodie;Printful;Printful;6;8;95% recycled polyester, 5% spandex;5;8;56,92
78;All-Over Print Recycled Unisex Hoodie;Printful;Printful;6;8;95% recycled polyester, 5% spandex;5;8;56,88
79;Organic Relaxed Kapuzenjacke Made in EU;Spreadshirt;Spreadshirt;9;8;100% Baumwolle (aus biologischem Anbau);5;6;56
80;All-Over Print Recycled Unisex Zip Hoodie;Printful;Printful;6;8;95% recycled polyester, 5% spandex;5;8;55,28
81;JAKO Frauen Zip Hoodie Pro Casual;JAKO;Spreadshirt;6;8;77% Polyester (46% recycelt), 18% Viskose, 5% Elasthan;5;6;53
82;JAKO Zip Hoodie Pro Casual;JAKO;Spreadshirt;6;8;77% Polyester (46% recycelt), 18% Viskose, 5% Elasthan;5;6;53
