Produkt;Marke;Quelle;Produktpreis (€);Versandkosten (€);Markenwertung (1–10);Anbieterwertung (1–10);Druck-Stoff-Kompatibilität (1–10)
Unisex Organic Cotton T-Shirt;Stanley/Stella STTU169;Printful ;14,22;3,29;;;10
Men’s Premium Cotton T-Shirt;Printful Original;Printful ;20,75;3,29;;;10
Unisex Garment-Dyed Heavyweight T-Shirt;Comfort Colors 1717;Printful ;17,79;3,99;;;10
Unisex Basic Softstyle T-Shirt;Gildan 64000;Printful ;7,44;3,99;;;10
Unisex Tri-Blend T-Shirt;Bella + Canvas 3413;Printful ;17,55;3,99;;;6
Oversized Faded T-Shirt;AS Colour 5082;Printful ;24,93;3,99;;;10
Men's Fitted T-Shirt;Next Level 3600;Printful ;17,55;3,99;;;10
All-Over Print Men's Crew Neck T-Shirt;Printful;Printful;26,12;6,19;;76;5
Oversized Heavyweight T-Shirt | Cotton Heritage MC1088;Cotton Heritage;Printful;22,55;6,19;;76;6
Unisex Staple Eco T-Shirt;Bella + Canvas 3001ECO;Printful;14,22;6,39;;76;6
All-Over Print Men's Athletic T-Shirt;;Printful;30,34;6,39;;76;5
Unisex Denim T-Shirt;Husky CA6589;Printful;18,15;6,39;;76;10
Women's Relaxed T-Shirt;Bella + Canvas 6400;Printful;17,25;6,39;;76;6
All-Over Print Women's Crew Neck T-Shirt;Printful;Printful;24,93;6,39;;76;5
Women's Basic Softstyle T-Shirt;Gildan 64000L;Printful;7,44;6,39;;76;6
Unisex Staple T-Shirt;Bella + Canvas 3001;Printful;14,22;6,39;;76;6
Unisex Garment-Dyed Heavyweight T-Shirt;Comfort Colors 1717;Printful;17,79;6,19;;76;10
Unisex Basic Softstyle T-Shirt;Gildan 64000;Printful;7,44;6,19;;76;10
Unisex Organic Cotton T-Shirt;Stanley/Stella STTU169;Printful;14,22;6,19;;76;10
Unisex Tri-Blend T-Shirt;Bella + Canvas 3413;Printful;17,55;6,19;;76;6
Oversized Faded T-Shirt;AS Colour 5082;Printful;24,93;6,19;;76;10
Oversized Heavyweight T-Shirt;Cotton Heritage MC1088;Printful;22,55;6,19;;76;10
Unisex Staple Eco T-Shirt;Bella + Canvas 3001ECO;Printful;14,22;6,19;;76;6
Unisex Denim T-Shirt;Husky CA6689;Printful;18,15;6,19;;76;9
All-Over Print Women's Athletic T-Shirt;Printful;Printful;30,34;6,19;;76;5
All-Over Print T-Shirt Dress;Printful;Printful;32,73;3,99;;76;5
Männer Premium T-Shirt | Spreadshirt;Spreadshirt;Spreadconnect;11,5;2,5;;74;7
Frauen Premium T-Shirt | Spreadshirt;Spreadshirt;Spreadconnect;10,48;2,5;;74;7
Heavy Oversize T-Shirt;Unbekannt;Spreadconnect;14,38;2,5;;74;7
JAKO Männer T-Shirt Run 2.0;JAKO;Spreadconnect;21,44;2,5;;74;7
JAKO Frauen T-Shirt Run 2.0;JAKO;Spreadconnect;21,44;2,5;;74;7
CRAFT Core Unify Trainings-T-Shirt;CRAFT (Core Unify);Spreadconnect;20,09;2,5;;74;4
CRAFT Core Unify Frauen Trainings-T-Shirt;CRAFT (Core Unify);Spreadconnect;20,09;2,5;;74;4
Organic Fitted T-Shirt Made in EU;Spreadshirt;Spreadconnect;23,49;2,5;;74;10
Männer Premium Bio T-Shirt;Spreadshirt;Spreadconnect;11,7;2,5;;74;7
Frauen Premium Bio T-Shirt;Spreadshirt;Spreadconnect;11,7;2,5;;74;7
Bio Frauen T-Shirt mit V-Ausschnitt;Spreadshirt;Spreadconnect;21,49;6,29;;74;10
CRAFT Community 2.0 T-Shirt;CRAFT;Spreadconnect;26,49;6,29;;74;6
CRAFT Community 2.0 Frauen T-Shirt;CRAFT;Spreadconnect;26,49;6,29;;74;6
Männer Kontrast-T-Shirt | Spreadshirt;Spreadshirt;Spreadconnect;18,49;6,29;;74;6
Frauen Kontrast-T-Shirt | Spreadshirt;Spreadshirt;Spreadconnect;18,49;6,29;;74;10
Männer Vintage T-Shirt | Spreadshirt;Spreadshirt;Spreadconnect;21,49;6,29;;74;10
Frauen Vintage T-Shirt | Spreadshirt;Spreadshirt;Spreadconnect;19,49;6,29;;74;6
Männer T-Shirt atmungsaktiv | AWDisCool;AWDisCool;Spreadconnect;17,49;6,29;;74;4
Frauen T-Shirt atmungsaktiv | AWDisCool;AWDisCool;Spreadconnect;17,49;6,29;;74;4
JAKO Männer T-Shirt Organic;JAKO;Spreadconnect;22,49;6,29;;74;5
JAKO Frauen T-Shirt Organic;JAKO;Spreadconnect;22,49;6,29;;74;5
Frauen T-Shirt mit gerollten Ärmeln;Spreadshirt;Spreadconnect;18,99;6,29;;74;5
Relaxed Fit Frauen T-Shirt;Spreadshirt;Spreadconnect;16,99;6,29;;74;5
JAKO Frauen T-Shirt Pro Casual;JAKO;Spreadconnect;23,76;6,29;;74;4
JAKO Frauen T-Shirt Pro Casual;JAKO;Spreadconnect;23,76;6,29;;74;4
